time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
226,1,0,0,0,0,0.129272,1,0,0,0.0186396,342,0.0026487,342,0.0038876,342,0.0120871,342,0,0,2.03e-05,342,0.0001743,22,0.0001895,43,0.0007868,342,0.0002679,342,0.0004851,342,0,0,0.0002209,6,0.000197,340,0.0002248,342,0.0003339,342,0.0002053,342,2.45e-05,342,0.0039789,342,0,0,0.0027054,342,0.0011129,342,16074,342
326,1,20,6,1.2,0.12,0.262316,1,0,0,0.0441198,542,0.0028562,542,0.0062909,542,0.0349467,542,0,0,3.85e-05,542,0.0005304,37,0.0003008,68,0.0014664,542,0.0004776,542,0.0012444,542,0.0007716,3,0.0013227,10,0.0003535,537,0.0007399,542,0.0006252,542,0.000302,542,5.15e-05,542,0.0139662,542,0,0,0.0058938,542,0.0077227,542,67670,542
426,1,1,4.5,1.86,0.294,0.398166,1,0,0,0.0821512,742,0.0030183,742,0.0087553,742,0.0703408,742,0,0,4.95e-05,742,0.0045579,203,0.0003873,93,0.0021891,742,0.00072,742,0.0022288,742,0.0007716,3,0.0013227,10,0.0004814,737,0.0027459,742,0.0008374,742,0.0003692,742,7.43e-05,742,0.0274905,742,0,0,0.0094669,742,0.0175621,742,145603,742
526,1,0,3.15,2.118,0.4764,0.295502,1,0,0,0.110916,942,0.0031775,942,0.0111044,942,0.0965896,942,0,0,5.96e-05,942,0.0064139,281,0.000494,118,0.0028126,942,0.0009358,942,0.0031925,942,0.0008085,4,0.0013227,10,0.0006129,937,0.0037525,942,0.0011084,942,0.0004569,942,0.0001104,942,0.0412232,942,0,0,0.0135148,942,0.0270702,942,223462,942
626,1,1,2.505,2.1954,0.6483,0.235967,0,0,0,0.134496,1142,0.0033484,1142,0.0135159,1142,0.117577,1142,0,0,7.08e-05,1142,0.0065653,294,0.0005803,143,0.0033453,1142,0.0011562,1142,0.0041952,1142,0.0008085,4,0.001373,11,0.000738,1137,0.0039095,1142,0.0013772,1142,0.0005709,1142,0.0001244,1142,0.0562348,1142,0,0,0.0179842,1142,0.0373428,1142,302913,1142
726,1,0,1.7535,2.10702,0.794172,0.221216,0,0,0,0.156741,1342,0.003528,1342,0.0158042,1342,0.137344,1342,0,0,8.12e-05,1342,0.0067076,306,0.0006721,168,0.0038668,1342,0.0013747,1342,0.0052044,1342,0.0008085,4,0.001373,11,0.0008655,1337,0.0040344,1342,0.0016352,1342,0.0006869,1342,0.0001403,1342,0.0711005,1342,0,0,0.022437,1342,0.0474294,1342,382513,1342
826,1,0,1.22745,1.93111,0.907865,0.206117,0,0,0,0.179225,1542,0.0036933,1542,0.0180809,1542,0.157374,1542,0,0,9.32e-05,1542,0.0068673,319,0.0007587,193,0.0043759,1542,0.0015854,1542,0.0061832,1542,0.0008085,4,0.001373,11,0.0009939,1537,0.0041606,1542,0.0019035,1542,0.0008042,1542,0.0001552,1542,0.085908,1542,0,0,0.0268019,1542,0.0575543,1542,462113,1542
926,1,0,0.859215,1.71673,0.988752,0.215193,0,0,0,0.202191,1742,0.003869,1742,0.0203376,1742,0.177897,1742,0,0,0.0001037,1742,0.0070239,332,0.0008451,218,0.0049161,1742,0.0017886,1742,0.0071684,1742,0.0008085,4,0.001373,11,0.0011158,1737,0.0042937,1742,0.0021646,1742,0.0009381,1742,0.0001718,1742,0.100558,1742,0,0,0.0311607,1742,0.0675633,1742,541713,1742
1026,1,0,0.60145,1.49367,1.03924,0.241567,0,0,0,0.224954,1942,0.0040393,1942,0.022715,1942,0.1981,1942,0,0,0.000117,1942,0.0072291,346,0.0009387,243,0.0054367,1942,0.0019995,1942,0.0081547,1942,0.0008085,4,0.001373,11,0.0012487,1937,0.004432,1942,0.0024237,1942,0.0010537,1942,0.0001865,1942,0.115342,1942,0,0,0.0355639,1942,0.0776419,1942,621628,1942
