time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
236,1,0,0,0,0,0.151489,1,0,0,0.0204662,360,0.003527,360,0.0034288,360,0.0134948,360,0,0,2.59e-05,360,0.0001648,23,0.0001874,45,0.0007857,360,0.0003117,360,0.0004283,360,0,0,0.0002001,6,0.0001952,355,0.0002444,360,0.0003326,360,0.0001922,360,2.79e-05,360,0.0043536,360,0,0,0.0031655,360,0.0010272,360,16926,360
336,1,15,4.5,0.9,0.09,0.177226,0,0,0,0.0411096,560,0.0037548,560,0.0058155,560,0.0315143,560,0,0,3.85e-05,560,0.0002656,37,0.0002789,70,0.0012688,560,0.0006112,560,0.0008779,560,0.0004219,1,0.0002001,6,0.0003266,554,0.0003831,560,0.0006118,560,0.0002787,560,4.12e-05,560,0.0103195,560,0,0,0.0053902,560,0.0046509,560,39572,560
436,1,0,3.15,1.35,0.216,0.131126,0,0,0,0.054604,760,0.0038892,760,0.008077,760,0.0426028,760,0,0,5.51e-05,760,0.0003422,49,0.0003663,95,0.0017659,760,0.0008898,760,0.0013637,760,0.0004219,1,0.0002001,6,0.0004429,754,0.0004928,760,0.0009086,760,0.0003936,760,5.48e-05,760,0.0164895,760,0,0,0.0075846,760,0.0085055,760,63772,760
