time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
237.5,1,0,0,0,0,0.165894,1,0,0,0.0213376,360,0.0031512,360,0.0046247,360,0.0135429,360,0,0,2.22e-05,360,0.0002094,23,0.0002195,45,0.0009046,360,0.0003044,360,0.0005415,360,0,0,0.0002389,6,0.0002248,358,0.0002636,360,0.0006245,360,0.0002287,360,2.86e-05,360,0.0047225,360,0,0,0.0032151,360,0.0013155,360,16920,360
337.5,1,20,6,1.2,0.12,0.353022,1,0,0,0.0505729,560,0.0033989,560,0.0085888,560,0.0385557,560,0,0,4.17e-05,560,0.0006383,40,0.0004106,70,0.0017334,560,0.0005499,560,0.0012834,560,0.0016562,3,0.0003328,7,0.0004356,555,0.0008583,560,0.0009896,560,0.0003444,560,6.11e-05,560,0.0154319,560,0,0,0.00733,560,0.00774,560,51224,560
437.5,1,0,4.2,1.8,0.288,0.417408,1,0,0,0.0893683,760,0.0036109,760,0.012555,760,0.0731628,760,0,0,5.58e-05,760,0.0053758,172,0.0005249,95,0.0025778,760,0.0008425,760,0.0021624,760,0.0016562,3,0.0003328,7,0.0005963,755,0.0023745,760,0.0012881,760,0.0004454,760,8.57e-05,760,0.0299672,760,0,0,0.0129034,760,0.0165545,760,106180,760
537.5,1,0,2.94,2.028,0.462,0.24542,1,0,0,0.122449,960,0.0038365,960,0.0161237,960,0.102438,960,0,0,6.84e-05,960,0.0091779,278,0.0006327,120,0.0035244,960,0.0011008,960,0.0030696,960,0.0016562,3,0.0003328,7,0.0007583,955,0.0035135,960,0.001573,960,0.0005491,960,0.0001018,960,0.0436533,960,0,0,0.0180681,960,0.0249211,960,160731,960
637.5,1,0,2.058,2.034,0.6192,0.535557,0,0,0,0.163612,1160,0.0041124,1160,0.0198392,1160,0.139599,1160,0,0,8.17e-05,1160,0.0095516,292,0.0008647,145,0.0042454,1160,0.0013822,1160,0.0042868,1160,0.0067747,18,0.0003959,9,0.0010499,1141,0.006578,1160,0.0021005,1160,0.0006781,1160,0.0001442,1160,0.0629882,1160,0,0,0.0240513,1160,0.0380374,1160,226288,1160
737.5,1,0,1.4406,1.91532,0.748812,0.472919,0,0,0,0.217845,1360,0.0043933,1360,0.0236,1360,0.18978,1360,0,0,9.42e-05,1360,0.009716,305,0.0011645,170,0.0048943,1360,0.0016875,1360,0.0059966,1360,0.0134854,30,0.0003959,9,0.0015907,1329,0.0105699,1360,0.0025986,1360,0.0008057,1360,0.00016,1360,0.0917541,1360,0,0,0.0331777,1360,0.0573754,1360,314793,1360
837.5,1,0,1.00842,1.73394,0.847325,0.580105,0,0,0,0.27013,1560,0.0047024,1560,0.0272938,1560,0.238052,1560,0,0,0.0001119,1560,0.0098759,317,0.001511,195,0.0055931,1560,0.002026,1560,0.0077314,1560,0.020915,52,0.0003959,9,0.0020156,1507,0.0147405,1560,0.0031459,1560,0.0009291,1560,0.0001759,1560,0.11667,1560,0,0,0.0423403,1560,0.0728743,1560,385649,1560
937.5,1,0,0.705894,1.52833,0.915425,0.539568,0,0,0,0.329938,1760,0.0050544,1760,0.0316432,1760,0.293148,1760,0,0,0.0001281,1760,0.0100706,330,0.0018659,220,0.0063256,1760,0.0023647,1760,0.0094513,1760,0.0259083,63,0.0003959,9,0.002254,1696,0.0193513,1760,0.0038826,1760,0.0010542,1760,0.0001943,1760,0.148993,1760,0,0,0.0537849,1760,0.0934346,1760,471173,1760
1037.5,1,0,0.494126,1.32149,0.956032,0.519893,0,0,0,0.381014,1960,0.0053761,1960,0.0357454,1960,0.33979,1960,0,0,0.0001415,1960,0.0102167,342,0.0022362,245,0.0070117,1960,0.0026898,1960,0.0112148,1960,0.032343,80,0.0003959,9,0.0025257,1879,0.0235042,1960,0.0045124,1960,0.0011843,1960,0.0002109,1960,0.173758,1960,0,0,0.062511,1960,0.109218,1960,541842,1960
1137.5,1,0,0.345888,1.12637,0.973066,0.459818,0,0,0,0.43541,2160,0.0056366,2160,0.0393279,2160,0.390332,2160,0,0,0.0001555,2160,0.0103892,355,0.002522,270,0.007721,2160,0.0030046,2160,0.0131308,2160,0.0379343,92,0.0003959,9,0.0028639,2067,0.0267289,2160,0.0050262,2160,0.0013114,2160,0.0002269,2160,0.204524,2160,0,0,0.072428,2160,0.129733,2160,636998,2160
