time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
80.5,1,0,0,0,0,0.132202,2,0,0,0.0081717,123,0.002362,123,0.0004638,123,0.0053405,123,0,0,7.1e-06,123,6.76e-05,7,6.48e-05,15,0.0002773,123,0.0001108,123,0.0001474,123,3.2e-06,1,0.0003344,6,8.14e-05,120,0.0001109,123,0.0001294,123,6.16e-05,123,1.68e-05,123,0.0013517,123,0,0,0.000948,123,0.0003463,123,5781,123
180.5,1,7,2.1,0.42,0.042,0.174933,2,0,0,0.0248877,323,0.0025812,323,0.0013547,323,0.0209376,323,0,0,2.15e-05,323,0.0001752,21,0.00017,40,0.000778,323,0.0003117,323,0.0006421,323,0.0003965,2,0.0003344,6,0.0002169,319,0.0002591,323,0.0004011,323,0.0001575,323,3.33e-05,323,0.0070297,323,0,0,0.0029284,323,0.0039187,323,27909,323
280.5,1,0,1.47,0.63,0.1008,0.433101,2,0,0,0.0582257,523,0.0027931,523,0.0021999,523,0.0532095,523,0,0,3.52e-05,523,0.0018502,81,0.0002831,65,0.0013081,523,0.0005168,523,0.0013454,523,0.0008554,4,0.0020736,12,0.0003587,518,0.0019952,523,0.0006575,523,0.0002585,523,8.24e-05,523,0.0261384,523,0,0,0.0069288,523,0.0187656,523,135124,523
380.5,1,0,1.029,0.7098,0.1617,0.296763,1,0,0,0.0987144,723,0.0033689,723,0.0030662,723,0.0922473,723,0,0,4.77e-05,723,0.0058708,219,0.0003771,90,0.0017981,723,0.0007271,723,0.0020821,723,0.0008554,4,0.0020736,12,0.0004803,718,0.004481,723,0.0008576,723,0.0003467,723,0.0001098,723,0.0471976,723,0,0,0.0107108,723,0.0358524,723,249714,723
480.5,1,0,0.7203,0.7119,0.21672,0.409024,0,0,0,0.130751,923,0.0035826,923,0.0039093,923,0.123219,923,0,0,6.16e-05,923,0.0061683,236,0.0005285,115,0.0023209,923,0.0009231,923,0.0028467,923,0.0013096,5,0.002109,13,0.0006028,916,0.0051575,923,0.001183,923,0.0004645,923,0.0001442,923,0.0708231,923,0,0,0.0153681,923,0.0544374,923,363520,923
580.5,1,0,0.50421,0.670362,0.262084,0.374938,0,0,0,0.165831,1123,0.0037631,1123,0.0047994,1123,0.157218,1123,0,0,7.28e-05,1123,0.0063799,250,0.0006907,140,0.0028055,1123,0.00114,1123,0.0036624,1123,0.0021278,9,0.002284,14,0.0007248,1112,0.0062634,1123,0.0015809,1123,0.0005847,1123,0.0001609,1123,0.0961271,1123,0,0,0.0199533,1123,0.0747899,1123,472745,1123
680.5,1,0,0.352947,0.606879,0.296564,0.257521,0,0,0,0.191956,1323,0.0039862,1323,0.0057476,1323,0.182162,1323,0,0,8.56e-05,1323,0.0065012,262,0.0008215,165,0.0033549,1323,0.0013784,1323,0.0044146,1323,0.0023251,10,0.002284,14,0.0008605,1310,0.0065598,1323,0.0018996,1323,0.0007275,1323,0.0001767,1323,0.115019,1323,0,0,0.0250007,1323,0.0883278,1323,542863,1323
780.5,1,0,0.247063,0.534916,0.320399,0.180309,0,0,0,0.215103,1523,0.0041743,1523,0.006769,1523,0.204091,1523,0,0,9.87e-05,1523,0.0068896,276,0.0010019,190,0.0039728,1523,0.0015952,1523,0.0049543,1523,0.0033843,14,0.002284,14,0.0010176,1507,0.0073346,1523,0.0022566,1523,0.0008758,1523,0.0002042,1523,0.128096,1523,0,0,0.0299751,1523,0.0962116,1523,590771,1523
880.5,1,0,0.172944,0.462521,0.334611,0.199973,0,0,0,0.235584,1723,0.0043599,1723,0.0077082,1723,0.223439,1723,0,0,0.0001197,1723,0.0073297,294,0.0011464,215,0.0045598,1723,0.0018115,1723,0.0054531,1723,0.0035999,16,0.002284,14,0.0011508,1699,0.0078926,1723,0.002769,1723,0.0009958,1723,0.0002231,1723,0.140083,1723,0,0,0.0349831,1723,0.1029,1723,638120,1723
980.5,1,0,0.121061,0.394229,0.340573,0.283348,0,0,0,0.269763,1923,0.0045803,1923,0.0086632,1923,0.256432,1923,0,0,0.0001332,1923,0.0074664,307,0.0014111,240,0.0050731,1923,0.0020492,1923,0.0061128,1923,0.0081519,27,0.002284,14,0.0013791,1888,0.0109949,1923,0.003254,1923,0.0011117,1923,0.0002376,1923,0.15744,1923,0,0,0.040327,1923,0.11468,1923,699452,1923
1080.5,1,0,0.0847426,0.332332,0.339749,0.325599,0,0,0,0.303216,2123,0.0048243,2123,0.0095495,2123,0.288744,2123,0,0,0.0001761,2123,0.0084057,340,0.001521,265,0.0057723,2123,0.0022816,2123,0.0069446,2123,0.0086934,29,0.002284,14,0.0015043,2067,0.0118964,2123,0.0038158,2123,0.0012479,2123,0.0003844,2123,0.179816,2123,0,0,0.04739,2123,0.129655,2123,783790,2123
1180.5,1,0,0.0593198,0.27773,0.333547,0.3287,0,0,0,0.336816,2323,0.0050685,2323,0.0104854,2323,0.321154,2323,0,0,0.0002313,2323,0.0090948,371,0.0016358,290,0.0064722,2323,0.0025132,2323,0.0077838,2323,0.0086934,29,0.002284,14,0.0016195,2247,0.012866,2323,0.004375,2323,0.0013676,2323,0.0004904,2323,0.202897,2323,0,0,0.0548583,2323,0.14489,2323,871052,2323
1280.5,1,0,0.0415239,0.230488,0.323241,0.333075,0,0,0,0.36987,2523,0.0052683,2523,0.0114412,2523,0.353042,2523,0,0,0.0002493,2523,0.0095273,391,0.0017483,315,0.0071141,2523,0.0027469,2523,0.0086474,2523,0.0086934,29,0.002284,14,0.0017613,2441,0.0134837,2523,0.0049133,2523,0.0014962,2523,0.0005364,2523,0.226945,2523,0,0,0.0626406,2523,0.160782,2523,962237,2523
1380.5,1,0,0.0290667,0.190204,0.309937,0.304149,0,0,0,0.401713,2723,0.0054415,2723,0.0123755,2723,0.383767,2723,0,0,0.0002771,2723,0.0100395,412,0.0018554,340,0.0077445,2723,0.0029936,2723,0.0094509,2723,0.0086934,29,0.002284,14,0.0018919,2633,0.0139181,2723,0.0053819,2723,0.0016205,2723,0.0005732,2723,0.250861,2723,0,0,0.0702423,2723,0.176654,2723,1054843,2723
1480.5,1,0,0.0203467,0.156233,0.294567,0.309111,0,0,0,0.434784,2923,0.0056181,2923,0.0132676,2923,0.415759,2923,0,0,0.000297,2923,0.0104191,430,0.0020067,365,0.0083302,2923,0.0032193,2923,0.0102925,2923,0.0086934,29,0.002284,14,0.0020205,2829,0.0145231,2923,0.0058823,2923,0.0017409,2923,0.0006053,2923,0.274899,2923,0,0,0.0780014,2923,0.192487,2923,1148323,2923
