time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
242,1,0,0,0,0,0.133911,1,0,0,0.0197534,370,0.0043337,370,0.0035555,370,0.0118486,370,0,0,2.45e-05,370,0.0001763,24,0.0002038,46,0.0007841,370,0.0002567,370,0.0004376,370,0,0,0.0002242,6,0.0002201,367,0.0002655,370,0.0003657,370,0.0002026,370,2.49e-05,370,0.0046966,370,0,0,0.0033126,370,0.0012007,370,17396,370
342,1,25,7.5,1.5,0.15,0.262226,1,0,0,0.0435608,570,0.0045793,570,0.0059973,570,0.0329585,570,0,0,3.66e-05,570,0.0006309,40,0.0003241,71,0.0014031,570,0.0005812,570,0.0012016,570,0.0009549,3,0.0011246,8,0.0004013,565,0.0009253,570,0.0006414,570,0.0003039,570,4.84e-05,570,0.0150583,570,0,0,0.0069007,570,0.0077828,570,64612,570
442,1,0,5.25,2.25,0.36,0.368163,1,0,0,0.077479,770,0.0047388,770,0.0082582,770,0.064445,770,0,0,4.71e-05,770,0.0048828,199,0.0004111,96,0.0020455,770,0.0009559,770,0.0022262,770,0.0009549,3,0.0011246,8,0.000543,765,0.0030202,770,0.0008543,770,0.0003748,770,6.77e-05,770,0.0283861,770,0,0,0.0107206,770,0.0171704,770,139353,770
542,1,0,3.675,2.535,0.5775,0.265001,1,0,0,0.105696,970,0.0049026,970,0.0105208,970,0.0902247,970,0,0,5.74e-05,970,0.007095,283,0.0005575,121,0.0026393,970,0.0013156,970,0.0031821,970,0.0011472,5,0.0011246,8,0.0006694,964,0.0042377,970,0.0011556,970,0.000467,970,0.0001011,970,0.04206,970,0,0,0.0147955,970,0.0265795,970,213077,970
642,1,0,2.5725,2.5425,0.774,0.3468,0,0,0,0.149598,1170,0.0050978,1170,0.0129529,1170,0.131484,1170,0,0,6.86e-05,1170,0.0074713,298,0.0007203,146,0.0031872,1170,0.0017147,1170,0.0053562,1170,0.0081732,20,0.0011246,8,0.0011018,1150,0.0071884,1170,0.0015475,1170,0.0005763,1170,0.0001302,1170,0.0649114,1170,0,0,0.0209148,1170,0.0429602,1170,315628,1170
742,1,0,1.80075,2.39415,0.936015,0.333612,0,0,0,0.184421,1370,0.0052685,1370,0.0154454,1370,0.163634,1370,0,0,8.03e-05,1370,0.0076103,310,0.0008089,171,0.0037616,1370,0.00212,1370,0.0076699,1370,0.0081732,20,0.0011246,8,0.0012381,1350,0.0073239,1370,0.0018159,1370,0.000703,1370,0.0001454,1370,0.0904499,1370,0,0,0.0283447,1370,0.0606612,1370,432428,1370
842,1,0,1.26052,2.16743,1.05916,0.751938,0,0,0,0.223365,1570,0.0054651,1570,0.0178221,1570,0.199996,1570,0,0,9.24e-05,1570,0.0079762,327,0.0009428,196,0.0043096,1570,0.0024996,1570,0.0096425,1570,0.0110865,24,0.0011246,8,0.0015285,1546,0.0091767,1570,0.002137,1570,0.0008281,1570,0.0001786,1570,0.114907,1570,0,0,0.034621,1570,0.0783258,1570,542654,1570
942,1,0,0.882367,1.91041,1.14428,0.380601,0,0,0,0.275625,1770,0.005621,1770,0.0201968,1770,0.249715,1770,0,0,0.000104,1770,0.0113796,448,0.0010243,221,0.0050505,1770,0.0029713,1770,0.0126841,1770,0.0110924,25,0.0011246,8,0.0016706,1746,0.0130976,1770,0.002467,1770,0.0009143,1770,0.0001967,1770,0.144644,1770,0,0,0.0423098,1770,0.100063,1770,680777,1770
1042,1,0,0.617657,1.65186,1.19504,0.56915,0,0,0,0.328013,1970,0.0057793,1970,0.0224348,1970,0.299694,1970,0,0,0.0001158,1970,0.0159191,601,0.0011047,246,0.0057934,1970,0.0034333,1970,0.0154698,1970,0.0110924,25,0.0011246,8,0.0018127,1946,0.0173087,1970,0.0027038,1970,0.0009881,1970,0.0002171,1970,0.172635,1970,0,0,0.0494155,1970,0.120752,1970,818667,1970
1142,1,0,0.43236,1.40796,1.21633,0.488813,0,0,0,0.376748,2170,0.005972,2170,0.0247928,2170,0.345867,2170,0,0,0.0001272,2170,0.0163057,620,0.0012849,271,0.0063652,2170,0.0038519,2170,0.0182853,2170,0.0158467,36,0.0011837,9,0.0021056,2136,0.0200628,2170,0.0031096,2170,0.0011086,2170,0.0002683,2170,0.202067,2170,0,0,0.057256,2170,0.141774,2170,945504,2170
1242,1,0,0.302652,1.1869,1.21339,0.359688,0,0,0,0.41789,2370,0.0061564,2370,0.0270621,2370,0.384546,2370,0,0,0.0001388,2370,0.0166733,634,0.0014203,296,0.0069271,2370,0.0042605,2370,0.0205302,2370,0.0170253,39,0.0011837,9,0.0022524,2333,0.0210062,2370,0.0034747,2370,0.001237,2370,0.000292,2370,0.231288,2370,0,0,0.0657921,2370,0.161909,2370,1072033,2370
1342,1,1,0.511856,1.05189,1.19724,0.4606,0,0,0,0.468458,2570,0.0063727,2570,0.0304606,2570,0.431488,2570,0,0,0.0001513,2570,0.0169613,646,0.0015305,321,0.0076534,2570,0.0047238,2570,0.0231072,2570,0.0170253,39,0.0011837,9,0.0024051,2533,0.0212211,2570,0.0038204,2570,0.0013892,2570,0.0003087,2570,0.270496,2570,0,0,0.0790067,2570,0.187154,2570,1198892,2570
1442,1,0,0.358299,0.913173,1.16883,0.472826,0,0,0,0.519401,2770,0.0066089,2770,0.0337766,2770,0.478869,2770,0,0,0.0001653,2770,0.0172348,659,0.0016417,346,0.0083903,2770,0.0052609,2770,0.0259983,2770,0.0170253,39,0.0011837,9,0.0025743,2733,0.0213853,2770,0.0041508,2770,0.0015362,2770,0.0003251,2770,0.309497,2770,0,0,0.0928904,2770,0.211661,2770,1325892,2770
1542,1,0,0.25081,0.7807,1.13002,0.455926,0,0,0,0.566862,2970,0.0068122,2970,0.0368813,2970,0.523011,2970,0,0,0.0001782,2970,0.017486,671,0.001749,371,0.0090778,2970,0.0057488,2970,0.0286453,2970,0.0170253,39,0.0011837,9,0.002724,2933,0.0215485,2970,0.0044586,2970,0.0016787,2970,0.0003408,2970,0.346203,2970,0,0,0.105176,2970,0.235324,2970,1452892,2970
1642,1,0,0.175567,0.659674,1.08298,0.481376,0,0,0,0.614524,3170,0.007009,3170,0.0401069,3170,0.56724,3170,0,0,0.0001909,3170,0.0177316,684,0.0018606,396,0.0097424,3170,0.0062221,3170,0.0313339,3170,0.0170253,39,0.0011837,9,0.0028718,3133,0.0217023,3170,0.0047738,3170,0.0018279,3170,0.0003572,3170,0.383055,3170,0,0,0.118044,3170,0.25867,3170,1579892,3170
