time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
83,1,0,0,0,0,0.141724,2,0,0,0.0090454,127,0.0026188,127,0.0005048,127,0.0059164,127,0,0,1.07e-05,127,9.77e-05,9,7.51e-05,16,0.0003266,127,0.0001292,127,0.0001775,127,3.6e-06,1,0.0002251,6,9.5e-05,123,0.0001195,127,0.0001425,127,7.47e-05,127,2.08e-05,127,0.0018208,127,0,0,0.0013619,127,0.0003993,127,5969,127
183,1,3,0.9,0.18,0.018,0.420727,2,0,0,0.0321224,327,0.0028461,327,0.0013969,327,0.0278637,327,0,0,3.01e-05,327,0.0002871,23,0.0001882,41,0.0008523,327,0.0002928,327,0.0007648,327,0.0013069,8,0.0002251,6,0.0002763,317,0.0023151,327,0.0004731,327,0.0001761,327,4.7e-05,327,0.0121456,327,0,0,0.0043865,327,0.0075455,327,45955,327
283,1,0,0.63,0.27,0.0432,0.264615,2,0,0,0.0613386,527,0.002997,527,0.0022731,527,0.0560429,527,0,0,4.98e-05,527,0.0003968,36,0.0002976,66,0.0013602,527,0.0004686,527,0.0016041,527,0.0017487,13,0.0002251,6,0.0004365,512,0.0032786,527,0.0008055,527,0.0002915,527,6.42e-05,527,0.0337117,527,0,0,0.0099567,527,0.023245,527,134005,527
