time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
237,1,0,0,0,0,0.168457,1,0,0,0.0360736,352,0.0179182,352,0.0042048,352,0.0139358,352,0,0,2.29e-05,352,0.0002015,23,0.000218,44,0.0009098,352,0.0002422,352,0.0005505,352,0,0,0.000295,6,0.0002239,347,0.0003075,352,0.0003952,352,0.000216,352,3.45e-05,352,0.0051356,352,0,0,0.0037178,352,0.0012333,352,16551,352
337,1,16,4.8,0.96,0.096,0.179013,0,0,0,0.0572315,552,0.0181389,552,0.0072947,552,0.0317728,552,0,0,3.57e-05,552,0.0003393,37,0.000316,69,0.0015166,552,0.0005282,552,0.0011484,552,0.0004532,1,0.000295,6,0.0003923,546,0.0004784,552,0.0007105,552,0.0003289,552,5.69e-05,552,0.0125896,552,0,0,0.0065304,552,0.005738,552,38753,552
437,1,0,3.36,1.44,0.2304,0.134825,0,0,0,0.0701887,752,0.0182738,752,0.0096685,752,0.0422124,752,0,0,4.7e-05,752,0.0004243,49,0.0004013,94,0.0020149,752,0.0007299,752,0.001672,752,0.0004532,1,0.000295,6,0.000513,746,0.0006065,752,0.0009852,752,0.0004482,752,7.22e-05,752,0.0190817,752,0,0,0.0086981,752,0.0099287,752,62953,752
537,1,0,2.352,1.6224,0.3696,0.140125,0,0,0,0.0837327,952,0.0184128,952,0.0121205,952,0.0531571,952,0,0,5.83e-05,952,0.0005149,62,0.0004878,119,0.0025264,952,0.0009451,952,0.002207,952,0.0004532,1,0.000295,6,0.0006342,946,0.0007396,952,0.0012686,952,0.0005817,952,8.88e-05,952,0.0258231,952,0,0,0.010972,952,0.0142586,952,87153,952
637,1,0,1.6464,1.6272,0.49536,0.1437,0,0,0,0.0978935,1152,0.0185468,1152,0.014701,1152,0.0645938,1152,0,0,7.05e-05,1152,0.0005963,74,0.0006783,144,0.0030529,1152,0.0012801,1152,0.0027625,1152,0.0004532,1,0.000295,6,0.0007581,1146,0.0008733,1152,0.0015555,1152,0.0007076,1152,0.0001059,1152,0.0327056,1152,0,0,0.0133133,1152,0.0186428,1152,111353,1152
737,1,0,1.15248,1.53226,0.59905,0.163012,0,0,0,0.112471,1352,0.0186893,1352,0.0174274,1352,0.0762923,1352,0,0,8.34e-05,1352,0.0006922,87,0.0007695,169,0.0036035,1352,0.0015107,1352,0.0033273,1352,0.0004532,1,0.000295,6,0.0008809,1346,0.0010044,1352,0.0018408,1352,0.0008298,1352,0.0001271,1352,0.0399422,1352,0,0,0.0158055,1352,0.0232534,1352,135553,1352
