time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
231,1,0,0,0,0,0.161743,1,0,0,0.0212519,350,0.0036972,350,0.0041649,350,0.0133723,350,0,0,2.43e-05,350,0.0002321,23,0.0002095,44,0.000922,350,0.0002738,350,0.0005676,350,0,0,0.0003131,6,0.000228,348,0.0002492,350,0.0003923,350,0.0002174,350,3.57e-05,350,0.0045146,350,0,0,0.0030254,350,0.0013065,350,16450,350
331,1,21,6.3,1.26,0.126,0.381055,1,0,0,0.0464618,550,0.0039061,550,0.0067185,550,0.0358087,550,0,0,4.93e-05,550,0.0005782,39,0.0003232,69,0.0016285,550,0.0004931,550,0.0013782,550,0.0007446,3,0.0012321,11,0.0003981,545,0.0008527,550,0.0006835,550,0.0003232,550,6.1e-05,550,0.0151868,550,0,0,0.0065238,550,0.0082869,550,66968,550
431,1,0,4.41,1.89,0.3024,0.369417,1,0,0,0.0819305,750,0.0040694,750,0.0091998,750,0.0686213,750,0,0,6.41e-05,750,0.0048729,198,0.0004272,94,0.002416,750,0.0007508,750,0.0024561,750,0.0007446,3,0.0012321,11,0.0005366,745,0.0029045,750,0.0009119,750,0.0003988,750,8.14e-05,750,0.0280209,750,0,0,0.0101933,750,0.0173302,750,143092,750
531,1,2,3.687,2.2494,0.4971,0.277142,1,0,0,0.109891,950,0.0042383,950,0.0115993,950,0.0940029,950,0,0,8.03e-05,950,0.0073578,284,0.0005138,119,0.0031221,950,0.0009778,950,0.0034645,950,0.0009095,5,0.0012831,12,0.0006631,944,0.0040525,950,0.0012056,950,0.0004947,950,0.0001192,950,0.0410609,950,0,0,0.0140793,950,0.0262926,950,218932,950
631,1,0,2.5809,2.3157,0.67896,0.403214,0,0,0,0.149835,1150,0.0044852,1150,0.0140403,1150,0.131245,1150,0,0,9.32e-05,1150,0.0074521,296,0.0007525,144,0.0035822,1150,0.0012094,1150,0.0048856,1150,0.0058248,17,0.0014602,13,0.0010351,1132,0.0078396,1150,0.0017524,1150,0.0005994,1150,0.0001379,1150,0.0604675,1150,0,0,0.0186731,1150,0.0408134,1150,307919,1150
731,1,1,2.10663,2.27389,0.838453,0.365652,0,0,0,0.185552,1350,0.0046659,1350,0.016592,1350,0.16422,1350,0,0,0.0001074,1350,0.0077832,310,0.0008722,169,0.0041832,1350,0.0014448,1350,0.0068307,1350,0.006201,19,0.0014602,13,0.00127,1330,0.0085116,1350,0.0020819,1350,0.0007173,1350,0.000164,1350,0.0855758,1350,0,0,0.0255406,1350,0.0584975,1350,425447,1350
831,1,0,1.47464,2.11404,0.966011,0.411702,0,0,0,0.225894,1550,0.0048512,1550,0.0196975,1550,0.201259,1550,0,0,0.0001255,1550,0.007947,322,0.000971,194,0.004798,1550,0.0017026,1550,0.0089468,1550,0.006201,19,0.0014602,13,0.0014132,1530,0.0086853,1550,0.0024276,1550,0.0008687,1550,0.0001844,1550,0.11637,1550,0,0,0.0343946,1550,0.0796255,1550,544447,1550
931,1,1,1.33225,1.95768,1.06518,0.329968,0,0,0,0.263375,1750,0.0050364,1750,0.0225845,1750,0.235655,1750,0,0,0.0001422,1750,0.0081262,335,0.0010727,219,0.005373,1750,0.0019453,1750,0.0109257,1750,0.006201,19,0.0014602,13,0.0015523,1730,0.0089177,1750,0.0027649,1750,0.0010169,1750,0.000204,1750,0.144041,1750,0,0,0.0421667,1750,0.0989229,1750,662011,1750
1031,1,0,0.932574,1.75266,1.13393,0.326431,0,0,0,0.296077,1950,0.0052087,1950,0.0249932,1950,0.265764,1950,0,0,0.0001549,1950,0.0082837,347,0.0011581,244,0.0059288,1950,0.0021789,1950,0.0128291,1950,0.006201,19,0.0014602,13,0.0016856,1930,0.0090664,1950,0.0030523,1950,0.0011376,1950,0.0002199,1950,0.167749,1950,0,0,0.0484794,1950,0.115848,1950,778752,1950
1131,1,0,0.652802,1.53269,1.1738,0.325456,0,0,0,0.32866,2150,0.0053786,2150,0.0273187,2150,0.295841,2150,0,0,0.0001698,2150,0.0084341,360,0.0012488,269,0.0064558,2150,0.0024055,2150,0.0146649,2150,0.006201,19,0.0014602,13,0.001815,2130,0.0091892,2150,0.0033412,2150,0.0012555,2150,0.0002357,2150,0.191836,2150,0,0,0.0552663,2150,0.132669,2150,895552,2150
