time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
243,1,0,0,0,0,0.138306,1,0,0,0.0119325,372,0.0043287,372,0.0038025,372,0.0037808,372,0,0,2.03e-05,315,0.0001794,23,0.00012,40,0.0001593,315,0.0002398,315,2.66e-05,18,0.0001141,2,0,0,0.0001835,313,0.0002738,315,0.0001952,315,0.0002436,315,2.62e-05,315,0.0005173,315,0,0,0.0002692,315,5.77e-05,18,846,315
343,1,115,34.5,6.9,0.69,0.106086,0,0,0,0.024975,572,0.0046083,572,0.0064111,572,0.0139263,572,0,0,3.55e-05,513,0.0004659,39,0.0002344,65,0.0006828,513,0.000418,513,0.0004029,215,0.0006836,7,0,0,0.0003582,508,0.0005099,513,0.0004822,513,0.0003566,513,5.51e-05,513,0.0045018,513,0,0,0.0024501,513,0.0017581,215,14545,513
443,1,195,82.65,22.05,2.826,0.146784,1,0,0,0.0407237,772,0.0047712,772,0.0089313,772,0.0269827,772,0,0,5e-05,711,0.0007863,55,0.0003429,91,0.0012136,711,0.0005989,711,0.0008591,411,0.001217,9,0,0,0.0005063,704,0.0007136,711,0.0007663,711,0.0004661,711,7.25e-05,711,0.0104168,711,0,0,0.0048015,711,0.005201,411,35819,711
543,1,357,164.955,50.631,7.6065,0.183339,1,0,0,0.0542022,972,0.0049476,972,0.0118088,972,0.0373958,972,0,0,6.9e-05,908,0.0011355,72,0.0004631,116,0.0017785,908,0.0007483,908,0.0012797,606,0.0018294,13,0,0,0.0006889,898,0.0009347,908,0.0010591,908,0.00059,908,9.61e-05,908,0.0149167,908,0,0,0.0072256,908,0.007165,606,50090,908
643,1,0,115.468,63.5985,13.2057,0.187952,1,0,0,0.0733525,1172,0.0051348,1172,0.0146819,1172,0.0534735,1172,0,0,8.58e-05,1108,0.0012303,85,0.0005688,141,0.0023362,1108,0.000912,1108,0.0018055,806,0.0018294,13,0,0,0.0008318,1098,0.001055,1108,0.0013611,1108,0.0006965,1108,0.0001117,1108,0.0222285,1108,0,0,0.0099154,1108,0.0116531,806,74290,1108
743,1,407,202.928,91.4644,21.0316,0.18838,0,0,0,0.087329,1372,0.0052967,1372,0.0173995,1372,0.0645591,1372,0,0,0.0001029,1303,0.0016395,104,0.0006983,166,0.002841,1303,0.0010719,1303,0.002231,998,0.0024576,17,0,0,0.0010272,1289,0.0013072,1303,0.0016545,1303,0.0008097,1303,0.0001339,1303,0.0271658,1303,0,0,0.0122404,1303,0.014144,998,91158,1303
843,1,0,142.05,101.581,29.0866,0.163104,0,0,0,0.104509,1572,0.0054719,1572,0.0198949,1572,0.0790554,1572,0,0,0.0001174,1503,0.0017236,117,0.0007976,191,0.0033539,1503,0.0012437,1503,0.0027291,1198,0.0024576,17,0,0,0.0011547,1489,0.0014177,1503,0.0019319,1503,0.0009157,1503,0.0001493,1503,0.033752,1503,0,0,0.0147185,1503,0.0181257,1198,115358,1503
