time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
81,1,0,0,0,0,0.141724,2,0,0,0.0085801,127,0.0023204,127,0.0004257,127,0.005828,127,0,0,6.9e-06,127,7.94e-05,9,6.42e-05,16,0.0002695,127,0.0001177,127,0.0001854,127,2.25e-05,2,0.0001987,6,8.31e-05,122,0.0001193,127,0.0001442,127,6.53e-05,127,1.22e-05,127,0.001497,127,0,0,0.0010787,127,0.0003634,127,5969,127
181,1,2,0.6,0.12,0.012,0.141006,1,0,0,0.0247006,327,0.0025066,327,0.0012908,327,0.0208875,327,0,0,2.06e-05,327,0.0001934,23,0.0001635,41,0.000799,327,0.000339,327,0.0007106,327,0.0004001,3,0.0001987,6,0.0002269,321,0.0002702,327,0.0004358,327,0.0001646,327,3.56e-05,327,0.0072493,327,0,0,0.0032625,327,0.0038075,327,28171,327
281,1,3,1.32,0.36,0.0468,0.180427,2,0,0,0.0409057,527,0.0026723,527,0.0021184,527,0.0360897,527,0,0,3.44e-05,527,0.0004934,36,0.000276,66,0.0013489,527,0.0005343,527,0.0011841,527,0.0008609,5,0.0009532,10,0.0003594,520,0.0008167,527,0.0007069,527,0.0002876,527,6.11e-05,527,0.0155358,527,0,0,0.0061009,527,0.0091126,527,65343,527
381,1,0,0.924,0.4728,0.0894,0.190627,1,0,0,0.0700967,727,0.0030176,727,0.0029711,727,0.0640741,727,0,0,4.81e-05,727,0.0036887,157,0.0003822,91,0.0019223,727,0.0007467,727,0.0016403,727,0.0008609,5,0.0009532,10,0.0004832,720,0.0021528,727,0.0009975,727,0.0003716,727,8.42e-05,727,0.0283714,727,0,0,0.0099849,727,0.0179322,727,127616,727
481,1,0,0.6468,0.5076,0.13122,0.196314,1,0,0,0.0973906,927,0.0034251,927,0.0037898,927,0.0901322,927,0,0,6.09e-05,927,0.0057314,239,0.000464,116,0.0025111,927,0.000943,927,0.0020637,927,0.0008609,5,0.0009532,10,0.0006002,920,0.0031335,927,0.0012953,927,0.000473,927,0.0001068,927,0.0422679,927,0,0,0.0140369,927,0.0276178,927,189565,927
581,1,0,0.45276,0.496632,0.167761,0.322287,0,0,0,0.125347,1127,0.0035945,1127,0.0046377,1127,0.117063,1127,0,0,7.6e-05,1127,0.0059696,256,0.000605,141,0.0030266,1127,0.001168,1127,0.0026072,1127,0.0016202,7,0.0011211,13,0.0007618,1117,0.0040369,1127,0.0016652,1127,0.0006055,1127,0.0001496,1127,0.0601937,1127,0,0,0.0185461,1127,0.040772,1127,265224,1127
681,1,0,0.316932,0.460692,0.197054,0.253085,0,0,0,0.155503,1327,0.0037618,1327,0.0055489,1327,0.146133,1327,0,0,8.95e-05,1327,0.0061108,268,0.0007538,166,0.0035607,1327,0.0014211,1327,0.0032773,1327,0.0016874,9,0.0011211,13,0.0008933,1315,0.004564,1327,0.0020049,1327,0.0007335,1327,0.0001699,1327,0.0824586,1327,0,0,0.0235796,1327,0.0576476,1327,351708,1327
781,1,0,0.221852,0.412924,0.218641,0.179477,0,0,0,0.176905,1527,0.0039556,1527,0.0063972,1527,0.166484,1527,0,0,0.0001024,1527,0.0062861,281,0.0009065,191,0.0040607,1527,0.0016548,1527,0.0038243,1527,0.0025041,10,0.001234,15,0.0010326,1511,0.0051591,1527,0.0023334,1527,0.0008475,1527,0.0001851,1527,0.0952715,1527,0,0,0.0278368,1527,0.0659819,1527,408494,1527
881,1,0,0.155297,0.361399,0.232917,0.32599,0,0,0,0.198397,1727,0.0041273,1727,0.0072111,1727,0.186981,1727,0,0,0.0001309,1727,0.0066048,300,0.0010326,216,0.00459,1727,0.0018973,1727,0.0044408,1727,0.003338,13,0.001234,15,0.0011755,1700,0.0058343,1727,0.0028532,1727,0.0009565,1727,0.0002025,1727,0.106813,1727,0,0,0.0321072,1727,0.0730578,1727,464328,1727
981,1,0,0.108708,0.31086,0.240711,0.354039,0,0,0,0.230437,1927,0.0042889,1927,0.0080289,1927,0.218033,1927,0,0,0.0001433,1927,0.0070354,315,0.0011917,241,0.0050811,1927,0.0021236,1927,0.0049979,1927,0.0052364,19,0.0013633,17,0.0013209,1891,0.007208,1927,0.0032167,1927,0.0010602,1927,0.0002237,1927,0.126297,1927,0,0,0.0370046,1927,0.0873669,1927,544004,1927
