time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
85,1,0,0,0,0,0.131104,2,0,0,0.0100905,132,0.0032041,132,0.0005145,132,0.0063669,132,0,0,8.8e-06,132,9.47e-05,9,9.39e-05,17,0.0003271,132,0.0001348,132,0.0002075,132,3e-06,1,0.0002201,6,9.81e-05,127,0.0001463,132,0.000163,132,7.55e-05,132,1.68e-05,132,0.001813,132,0,0,0.0013612,132,0.0003847,132,6204,132
185,1,4,1.2,0.24,0.024,0.245557,2,0,0,0.0322226,332,0.0034188,332,0.0013756,332,0.0274132,332,0,0,2.15e-05,332,0.0005933,25,0.0002293,42,0.0009498,332,0.0003698,332,0.0008088,332,0.0008423,4,0.0018662,9,0.0002529,325,0.0008275,332,0.0004482,332,0.0001836,332,4.28e-05,332,0.0112353,332,0,0,0.0046451,332,0.0063624,332,44778,332
285,1,3,1.74,0.54,0.0756,0.42069,2,0,0,0.0674656,532,0.004029,532,0.0022705,532,0.0611421,532,0,0,3.3e-05,532,0.0050602,160,0.0003438,67,0.0016118,532,0.0006329,532,0.0016042,532,0.0008423,4,0.0018662,9,0.0003965,525,0.0024892,532,0.0006813,532,0.0002677,532,6.46e-05,532,0.0267911,532,0,0,0.0092878,532,0.0171326,532,112337,532
385,1,0,1.218,0.6756,0.1356,0.306384,1,0,0,0.0981832,732,0.0043455,732,0.0032236,732,0.0905795,732,0,0,4.69e-05,732,0.0075005,234,0.0004608,92,0.0022652,732,0.0008861,732,0.0024071,732,0.0009779,5,0.0018662,9,0.0005416,724,0.0035102,732,0.0010253,732,0.0003807,732,8.22e-05,732,0.0440344,732,0,0,0.0144189,732,0.0290086,732,178748,732
485,1,0,0.8526,0.711,0.19314,0.529623,0,0,0,0.150149,932,0.0045756,932,0.0042161,932,0.141313,932,0,0,6.13e-05,932,0.007625,246,0.0007316,117,0.0028157,932,0.0011418,932,0.0032773,932,0.0103197,27,0.0018662,9,0.0007965,903,0.0090344,932,0.0015538,932,0.0004995,932,0.0001588,932,0.0710152,932,0,0,0.0213478,932,0.0487151,932,257801,932
585,1,0,0.59682,0.688164,0.242642,0.359407,0,0,0,0.186464,1132,0.0047852,1132,0.0052393,1132,0.176385,1132,0,0,7.51e-05,1132,0.0083174,264,0.000901,142,0.0034482,1132,0.0014025,1132,0.0041168,1132,0.0109528,34,0.001917,10,0.0009724,1096,0.0101789,1132,0.0020335,1132,0.0006382,1132,0.0001926,1132,0.0955359,1132,0,0,0.0295612,1132,0.0646596,1132,327589,1132
685,1,0,0.417774,0.634086,0.281787,0.300384,0,0,0,0.226135,1332,0.0049958,1332,0.0062204,1332,0.214855,1332,0,0,8.83e-05,1332,0.0084917,276,0.0010503,167,0.004028,1332,0.001654,1332,0.0049676,1332,0.0131031,38,0.001917,10,0.0011986,1292,0.0113964,1332,0.0023718,1332,0.0007835,1332,0.0002085,1332,0.123898,1332,0,0,0.0376205,1332,0.0845954,1332,410204,1332
785,1,0,0.292442,0.565757,0.310184,0.227784,0,0,0,0.26348,1532,0.0051928,1532,0.0071662,1532,0.251047,1532,0,0,0.0001004,1532,0.0086936,289,0.0012557,192,0.0045799,1532,0.0019055,1532,0.0057353,1532,0.0148883,49,0.001917,10,0.0014262,1481,0.0134417,1532,0.0027658,1532,0.0009134,1532,0.0002248,1532,0.147575,1532,0,0,0.0451148,1532,0.100392,1532,480832,1532
885,1,0,0.204709,0.493548,0.32852,0.535921,0,0,0,0.294905,1732,0.0053789,1732,0.0081044,1732,0.281337,1732,0,0,0.0001135,1732,0.0088602,301,0.001552,217,0.0051653,1732,0.0021472,1732,0.0064677,1732,0.017604,54,0.001917,10,0.0016127,1676,0.0146989,1732,0.0031258,1732,0.0010495,1732,0.0002401,1732,0.16701,1732,0,0,0.0525538,1732,0.112096,1732,539765,1732
985,1,0,0.143296,0.423497,0.338018,0.416158,0,0,0,0.338878,1932,0.0056047,1932,0.009137,1932,0.324042,1932,0,0,0.0001297,1932,0.0093752,314,0.001747,242,0.0058479,1932,0.0024188,1932,0.0075482,1932,0.0198267,60,0.001917,10,0.0018521,1870,0.0168969,1932,0.003604,1932,0.0011876,1932,0.0002639,1932,0.19641,1932,0,0,0.0619517,1932,0.131722,1932,620369,1932
