time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
236,1,0,0,0,0,0.138062,1,0,0,0.0280116,358,0.0051354,358,0.004546,358,0.0182813,358,0,0,2.48e-05,358,0.0001983,24,0.000288,45,0.0011118,358,0.0003081,358,0.0006086,358,0,0,0.0001989,6,0.0002209,348,0.0003452,358,0.0004576,358,0.0002307,358,3.5e-05,358,0.0066026,358,0,0,0.004998,358,0.0014033,358,16826,358
336,1,23,6.9,1.38,0.138,0.19029,1,0,0,0.0483108,558,0.0053523,558,0.0070165,558,0.0358834,558,0,0,3.6e-05,558,0.0002948,37,0.0003901,70,0.0016072,558,0.0004992,558,0.001091,558,0.0004207,1,0.0001989,6,0.0003548,547,0.000606,558,0.0007415,558,0.0003218,558,5.36e-05,558,0.0130992,558,0,0,0.0075801,558,0.0051963,558,39472,558
436,1,0,4.83,2.07,0.3312,0.502115,1,0,0,0.0714769,758,0.0055195,758,0.009551,758,0.0563387,758,0,0,4.68e-05,758,0.0012899,68,0.0004978,95,0.0021504,758,0.0006988,758,0.0017164,758,0.0019436,3,0.0001989,6,0.0005001,746,0.0015947,758,0.0010346,758,0.0004292,758,8.03e-05,758,0.0230155,758,0,0,0.0106631,758,0.0118919,758,80998,758
536,1,0,3.381,2.3322,0.5313,0.458115,1,0,0,0.115716,958,0.0056933,958,0.0128344,958,0.0971087,958,0,0,5.96e-05,958,0.0038121,172,0.0005879,120,0.0028164,958,0.0009633,958,0.0028391,958,0.0019436,3,0.0001989,6,0.0006304,946,0.0033224,958,0.0014065,958,0.0005299,958,0.0001003,958,0.0472312,958,0,0,0.016624,958,0.0299394,958,189924,958
636,1,0,2.3667,2.3391,0.71208,0.35604,0,0,0,0.163569,1158,0.0058678,1158,0.0164025,1158,0.141208,1158,0,0,7.43e-05,1158,0.0064861,257,0.0006882,145,0.0035409,1158,0.0012587,1158,0.0040979,1158,0.0019436,3,0.0001989,6,0.0007813,1146,0.0048441,1158,0.0017659,1158,0.0006484,1158,0.0001268,1158,0.0743277,1158,0,0,0.0235186,1158,0.0498816,1158,298512,1158
736,1,0,1.65669,2.20262,0.861134,0.589465,0,0,0,0.207641,1358,0.0060902,1358,0.0202135,1358,0.181237,1358,0,0,8.92e-05,1358,0.0067631,272,0.0008634,170,0.004232,1358,0.0015524,1358,0.0053606,1358,0.0027771,5,0.0004053,7,0.0010734,1344,0.0062528,1358,0.0022116,1358,0.0007917,1358,0.0001531,1358,0.101684,1358,0,0,0.0314177,1358,0.0690059,1358,398043,1358
836,1,0,1.15968,1.99403,0.974424,0.540027,0,0,0,0.260777,1558,0.0063134,1558,0.0240373,1558,0.230317,1558,0,0,0.0001034,1558,0.0071837,286,0.0010975,195,0.0048388,1558,0.0018909,1558,0.0076957,1558,0.0055387,11,0.0004053,7,0.0012191,1537,0.0083683,1558,0.0027743,1558,0.0009274,1558,0.0001788,1558,0.133299,1558,0,0,0.0408125,1558,0.0908838,1558,506813,1558
936,1,0,0.811778,1.75758,1.05274,0.575276,0,0,0,0.324824,1758,0.0065995,1758,0.0283451,1758,0.289759,1758,0,0,0.0001218,1758,0.0073775,298,0.0013285,220,0.0055053,1758,0.0022631,1758,0.0098274,1758,0.0088633,18,0.0004053,7,0.0015262,1730,0.012644,1758,0.0034419,1758,0.0010718,1758,0.000209,1758,0.170406,1758,0,0,0.0527768,1758,0.115679,1758,610825,1758
1036,1,0,0.568245,1.51971,1.09944,0.3967,0,0,0,0.368644,1958,0.0068272,1958,0.0328999,1958,0.328786,1958,0,0,0.0001383,1958,0.0079394,313,0.0014936,245,0.0063025,1958,0.0026162,1958,0.0116333,1958,0.009123,19,0.0004053,7,0.001696,1928,0.0130941,1958,0.0039228,1958,0.001253,1958,0.0002433,1958,0.19766,1958,0,0,0.0637141,1958,0.131669,1958,677568,1958
1136,1,0,0.397771,1.29532,1.11903,0.368688,0,0,0,0.408194,2158,0.0070321,2158,0.0368516,2158,0.36417,2158,0,0,0.0001559,2158,0.0082931,327,0.0016143,270,0.0070767,2158,0.0029594,2158,0.0134093,2158,0.009206,20,0.0004053,7,0.0018482,2127,0.0132664,2158,0.0042731,2158,0.001404,2158,0.0002733,2158,0.224548,2158,0,0,0.0759751,2158,0.145801,2158,748968,2158
