time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
241,1,0,0,0,0,0.178101,2,0,0,0.0219161,341,0.002729,341,0.0045841,341,0.0145867,341,0,0,1.9e-05,340,0.00046,26,0.0002574,44,0.0008921,340,0.000308,340,0.0005395,338,6.2e-05,3,0.0002046,6,0.0002302,337,0.0002749,340,0.000381,340,0.0002128,340,4.25e-05,340,0.00452,340,0,0,0.0029809,340,0.0013735,338,15888,340
341,1,23,6.9,1.38,0.138,0.195536,2,0,0,0.0454074,541,0.0029694,541,0.0078366,541,0.034575,541,0,0,2.99e-05,540,0.0005779,40,0.0003464,69,0.0014604,540,0.0005601,540,0.0011383,538,0.0005897,4,0.0002046,6,0.0003889,536,0.0004581,540,0.0007102,540,0.0003114,540,6.19e-05,540,0.0115078,540,0,0,0.0052131,540,0.006,538,38386,540
441,1,0,4.83,2.07,0.3312,0.402227,1,0,0,0.0672653,741,0.0031538,741,0.0109339,741,0.0531416,741,0,0,4.32e-05,740,0.0017364,80,0.000473,94,0.0021507,740,0.0008198,740,0.0018017,738,0.0017931,6,0.0002867,7,0.0005524,735,0.0011429,740,0.0010175,740,0.0004281,740,9.63e-05,740,0.0190601,740,0,0,0.0077551,740,0.0108794,738,66714,740
541,1,0,3.381,2.3322,0.5313,0.153477,1,0,0,0.0962551,941,0.003338,941,0.0142764,941,0.0785948,941,0,0,5.81e-05,940,0.0046572,175,0.0005737,119,0.003016,940,0.0011301,940,0.0026647,938,0.0017931,6,0.0002867,7,0.0006936,935,0.0020956,940,0.0013439,940,0.0005353,940,0.0001242,940,0.0279831,940,0,0,0.0116162,940,0.0157991,938,107029,940
641,1,0,2.3667,2.3391,0.71208,0.148264,0,0,0,0.124111,1141,0.0034915,1141,0.0169011,1141,0.103661,1141,0,0,6.96e-05,1140,0.0081387,307,0.0006532,144,0.0037613,1140,0.0014117,1140,0.0034184,1138,0.0017931,6,0.0002867,7,0.0008216,1135,0.0032417,1140,0.001635,1140,0.0006153,1140,0.0001474,1140,0.0348643,1140,0,0,0.0142891,1140,0.0199006,1138,147045,1140
741,1,0,1.65669,2.20262,0.861134,0.288276,0,0,0,0.148467,1341,0.0037099,1341,0.0202184,1341,0.124473,1341,0,0,8.32e-05,1340,0.0084126,323,0.0008235,169,0.0044443,1340,0.0016999,1340,0.0042311,1338,0.0021263,8,0.0004204,8,0.0009619,1334,0.0037026,1340,0.0020732,1340,0.0007506,1340,0.0001885,1340,0.0463569,1340,0,0,0.0189252,1340,0.0265764,1338,194676,1340
841,1,0,1.15968,1.99403,0.974424,0.258602,0,0,0,0.173512,1541,0.0039098,1541,0.0233712,1541,0.146155,1541,0,0,9.69e-05,1540,0.0085897,335,0.0009978,194,0.0050807,1540,0.0019876,1540,0.0050385,1538,0.0021641,9,0.0014148,10,0.0011004,1533,0.0041349,1540,0.0024936,1540,0.0008744,1540,0.00021,1540,0.0572193,1540,0,0,0.0232444,1540,0.0329431,1538,242919,1540
941,1,0,0.811778,1.75758,1.05274,0.271989,0,0,0,0.200119,1741,0.0041067,1741,0.0264666,1741,0.169458,1741,0,0,0.0001101,1740,0.0087567,348,0.0011892,219,0.0056457,1740,0.0022888,1740,0.0059635,1738,0.0029871,11,0.0016826,14,0.0013105,1730,0.0048483,1740,0.0028781,1740,0.0009966,1740,0.0002316,1740,0.0693497,1740,0,0,0.0276241,1740,0.0405088,1738,297461,1740
1041,1,0,0.568245,1.51971,1.09944,0.349064,0,0,0,0.226923,1941,0.0043097,1941,0.0295396,1941,0.192976,1941,0,0,0.0001235,1940,0.008927,360,0.0013842,244,0.0062295,1940,0.0025775,1940,0.0067718,1938,0.0029871,11,0.0016826,14,0.0014671,1930,0.0053055,1940,0.0032682,1940,0.0011235,1940,0.0002538,1940,0.0825578,1940,0,0,0.0322717,1940,0.0488654,1938,355489,1940
1141,1,0,0.397771,1.29532,1.11903,0.27124,0,0,0,0.255617,2141,0.0045063,2141,0.0324814,2141,0.218521,2141,0,0,0.0001347,2140,0.0093649,375,0.0016288,269,0.0067757,2140,0.0028613,2140,0.0075236,2138,0.0053587,19,0.0019459,15,0.0016793,2122,0.0064337,2140,0.0037102,2140,0.0012367,2140,0.0002952,2140,0.0941637,2140,0,0,0.0364779,2140,0.0560822,2138,408214,2140
