time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
237,1,0,0,0,0,0.150146,1,0,0,0.0207009,362,0.0035111,362,0.0035027,362,0.0136718,362,0,0,2.46e-05,362,0.0001522,24,0.0001909,45,0.0007833,362,0.0003139,362,0.0004328,362,0,0,0.0002141,6,0.000199,359,0.0002279,362,0.0003225,362,0.0001926,362,2.67e-05,362,0.0047245,362,0,0,0.0034606,362,0.001109,362,17020,362
337,1,16,4.8,0.96,0.096,0.231975,0,0,0,0.0422012,562,0.0037116,562,0.0060009,562,0.0324639,562,0,0,3.61e-05,562,0.0003243,45,0.0002801,70,0.0012819,562,0.0005827,562,0.0008885,562,0.0004238,1,0.0002141,6,0.0003344,558,0.0003779,562,0.0009258,562,0.0002774,562,4.62e-05,562,0.0110281,562,0,0,0.0061448,562,0.0046065,562,39746,562
437,1,0,3.36,1.44,0.2304,0.1279,0,0,0,0.0563737,762,0.0038459,762,0.0083758,762,0.044119,762,0,0,4.91e-05,762,0.0004141,58,0.0003684,95,0.0018106,762,0.0008383,762,0.0013885,762,0.0004238,1,0.0002141,6,0.0004508,758,0.0004845,762,0.0012018,762,0.0003918,762,6.24e-05,762,0.0176322,762,0,0,0.0088305,762,0.0084075,762,64746,762
537,1,0,2.352,1.6224,0.3696,0.1554,0,0,0,0.0697865,962,0.0039851,962,0.0106957,962,0.0550636,962,0,0,6.16e-05,962,0.0005137,73,0.0004617,120,0.0023195,962,0.0010796,962,0.0018772,962,0.0004238,1,0.0002141,6,0.0005694,958,0.0005929,962,0.0015546,962,0.0005057,962,7.82e-05,962,0.0241505,962,0,0,0.0114853,962,0.0121512,962,89746,962
637,1,0,1.6464,1.6272,0.49536,0.128625,0,0,0,0.0841797,1162,0.0041191,1162,0.0129892,1162,0.0670198,1162,0,0,7.53e-05,1162,0.0006236,90,0.0005472,145,0.0028205,1162,0.0013151,1162,0.0023652,1162,0.0004238,1,0.0002141,6,0.000683,1158,0.0006983,1162,0.0019108,1162,0.0006347,1162,9.44e-05,1162,0.030624,1162,0,0,0.0140912,1162,0.0158852,1162,114746,1162
737,1,0,1.15248,1.53226,0.59905,0.131263,0,0,0,0.0976234,1362,0.0042523,1362,0.0152656,1362,0.0780448,1362,0,0,8.94e-05,1362,0.0007088,102,0.0006357,170,0.0033245,1362,0.0015598,1362,0.0028566,1362,0.0004238,1,0.0002141,6,0.0007979,1358,0.0008066,1362,0.0021778,1362,0.0007501,1362,0.0001113,1362,0.0371152,1362,0,0,0.0167197,1362,0.0196286,1362,139746,1362
837,1,0,0.806736,1.38715,0.67786,0.140313,0,0,0,0.110829,1562,0.0043854,1562,0.0175628,1562,0.0888095,1562,0,0,0.0001028,1562,0.0007964,115,0.000725,195,0.0038244,1562,0.0018041,1562,0.0033461,1562,0.0004238,1,0.0002141,6,0.0009153,1558,0.0009141,1562,0.0024477,1562,0.0008633,1562,0.0001286,1562,0.0435962,1562,0,0,0.0193642,1562,0.0233459,1562,164746,1562
937,1,0,0.564715,1.22266,0.73234,0.131612,0,0,0,0.124574,1762,0.0045229,1762,0.0199821,1762,0.09999,1762,0,0,0.0001167,1762,0.0008851,127,0.0008192,220,0.0043373,1762,0.002055,1762,0.0038469,1762,0.0004238,1,0.0002141,6,0.0010333,1758,0.0010272,1762,0.0027224,1762,0.0009833,1762,0.0001466,1762,0.0503527,1762,0,0,0.0221369,1762,0.0272055,1762,189746,1762
1037,1,0,0.395301,1.05719,0.764826,0.135325,0,0,0,0.137906,1962,0.0046591,1962,0.0222961,1962,0.110864,1962,0,0,0.0001292,1962,0.0009745,140,0.0009105,245,0.0048428,1962,0.0023119,1962,0.0043408,1962,0.0004238,1,0.0002141,6,0.0011474,1958,0.0011377,1962,0.0029911,1962,0.0010964,1962,0.0001642,1962,0.0568778,1962,0,0,0.0247831,1962,0.0309635,1962,214746,1962
1137,1,0,0.27671,0.901096,0.778453,0.14225,0,0,0,0.151824,2162,0.0047932,2162,0.024646,2162,0.122289,2162,0,0,0.0001413,2162,0.0010694,155,0.0010016,270,0.0053465,2162,0.002555,2162,0.0048317,2162,0.0004238,1,0.0002141,6,0.0012657,2158,0.0012481,2162,0.0033337,2162,0.0012089,2162,0.0001817,2162,0.0633622,2162,0,0,0.0274143,2162,0.0347021,2162,239746,2162
