time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
223,1,0,0,0,0,0.153198,1,0,0,0.0154212,344,0.0031939,344,0.0034813,344,0.0087317,344,0,0,2.18e-05,344,0.0002514,24,0.000155,43,0.0004373,344,0.0002654,344,0.0002066,162,7.32e-05,3,8.14e-05,1,0.0002005,340,0.0002749,344,0.0002712,344,0.0002166,344,3.72e-05,344,0.0023264,344,0,0,0.001643,344,0.0005119,162,7621,344
323,1,16,4.8,0.96,0.096,0.21051,0,0,0,0.0346192,544,0.0033896,544,0.0060309,544,0.0251742,544,0,0,3.43e-05,544,0.0003516,38,0.0002478,68,0.0009694,544,0.0005723,544,0.0006876,362,0.0006134,4,8.14e-05,1,0.0003402,539,0.0004476,544,0.0005645,544,0.0003132,544,5.78e-05,544,0.0085317,544,0,0,0.0039659,544,0.004272,362,29675,544
423,1,0,3.36,1.44,0.2304,0.144748,0,0,0,0.048377,744,0.0035252,744,0.0085465,744,0.0362712,744,0,0,4.73e-05,744,0.0004313,50,0.0003383,93,0.0014748,744,0.000854,744,0.0011881,562,0.0006134,4,8.14e-05,1,0.000457,739,0.0005642,744,0.0008551,744,0.0004309,744,7.77e-05,744,0.0151677,744,0,0,0.0062229,744,0.008531,562,53875,744
523,1,0,2.352,1.6224,0.3696,0.137885,0,0,0,0.0614569,944,0.0036681,944,0.0109996,944,0.0467463,944,0,0,6.09e-05,944,0.0005238,63,0.0004303,118,0.0019935,944,0.0011198,944,0.0016856,762,0.0006134,4,8.14e-05,1,0.0005706,939,0.0006806,944,0.0011414,944,0.0005496,944,9.82e-05,944,0.0217265,944,0,0,0.0084689,944,0.012722,762,78075,944
623,1,0,1.6464,1.6272,0.49536,0.13291,0,0,0,0.0755162,1144,0.0038152,1144,0.0135672,1144,0.0580812,1144,0,0,7.42e-05,1144,0.0006197,75,0.0005335,143,0.0025295,1144,0.0013987,1144,0.0022042,962,0.0006134,4,8.14e-05,1,0.0006859,1139,0.0007974,1144,0.0014379,1144,0.0006687,1144,0.000117,1144,0.0285318,1144,0,0,0.0107969,1144,0.017076,962,102275,1144
723,1,0,1.15248,1.53226,0.59905,0.14611,0,0,0,0.0896871,1344,0.0039527,1344,0.0160016,1344,0.0696695,1344,0,0,8.61e-05,1344,0.0007414,91,0.0006214,168,0.0030341,1344,0.0016634,1344,0.0026863,1162,0.0006134,4,8.14e-05,1,0.000798,1339,0.0009169,1344,0.0018724,1344,0.0007835,1344,0.0001339,1344,0.0350918,1344,0,0,0.0130447,1344,0.0212643,1162,126627,1344
823,1,330,99.8067,21.1872,2.65786,0.143904,0,0,0,0.103697,1544,0.0040949,1544,0.01856,1544,0.0809707,1544,0,0,0.0001007,1541,0.0012714,109,0.0007176,193,0.0035424,1541,0.001876,1541,0.0030957,1350,0.0012473,9,8.14e-05,1,0.000955,1532,0.001224,1541,0.002148,1541,0.0008974,1541,0.0001609,1541,0.0400312,1541,0,0,0.0153153,1541,0.023825,1350,143585,1541
923,0,308,162.265,49.4027,7.33234,0.0253167,0,0,0,0.118638,1744,0.0042335,1744,0.020958,1744,0.093361,1744,0,0,0.0001114,1710,0.0013551,120,0.0007892,215,0.0039589,1710,0.0020267,1710,0.0035321,1519,0.0012473,9,8.14e-05,1,0.0010529,1701,0.0013181,1710,0.0023737,1710,0.000982,1710,0.0001758,1710,0.045624,1710,0,0,0.0172478,1710,0.0273806,1519,164253,1710
1023,1,0,113.585,62.2392,12.823,0.178229,0,0,0,0.131415,1944,0.0043735,1944,0.0236609,1944,0.103282,1944,0,0,0.0001216,1866,0.0017302,137,0.0008711,235,0.0043957,1866,0.002195,1866,0.0038953,1673,0.0018055,13,8.14e-05,1,0.0011705,1854,0.0015648,1866,0.0026045,1866,0.0010771,1866,0.0001977,1866,0.0496432,1866,0,0,0.0191381,1866,0.0294134,1673,177140,1866
1123,1,7,81.6097,66.1133,18.1521,0.163651,1,0,0,0.153405,2144,0.0045206,2144,0.0265291,2144,0.122247,2144,0,0,0.0001331,2066,0.0018663,154,0.0009794,260,0.0049478,2066,0.0024062,2066,0.0044383,1873,0.0018055,13,8.14e-05,1,0.001295,2054,0.0016712,2066,0.0028911,2066,0.0011689,2066,0.0002209,2066,0.0571791,2066,0,0,0.0218323,2066,0.0341276,1873,201940,2066
