time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
114,1,0,0,0,0,0.128906,1,0,0,0.0134822,186,0.0045732,186,0.0006737,186,0.0082269,186,0,0,1.14e-05,186,0.0001321,13,9.97e-05,23,0.0004093,186,0.0001758,186,0.0002354,186,0,0,0.0003023,8,0.0001064,180,0.0001552,186,0.0001886,186,0.0001012,186,1.27e-05,186,0.0022781,186,0,0,0.001679,186,0.0005192,186,8742,186
214,1,8,2.4,0.48,0.048,0.261227,1,0,0,0.0375291,386,0.004924,386,0.001544,386,0.0310443,386,0,0,2.42e-05,386,0.0005051,28,0.0001909,48,0.0009579,386,0.0003927,386,0.0007536,386,0.0013116,3,0.0005204,9,0.0002701,378,0.0006372,386,0.0004642,386,0.0001967,386,3.97e-05,386,0.0121583,386,0,0,0.0050329,386,0.0068979,386,47055,386
314,1,5,3.18,1.02,0.1452,0.327336,1,0,0,0.0679651,586,0.0052085,586,0.0022957,586,0.0604334,586,0,0,3.57e-05,586,0.0032624,168,0.0002577,73,0.0014483,586,0.0005872,586,0.001331,586,0.0013116,3,0.0005204,9,0.0003836,578,0.002008,586,0.0007307,586,0.0002656,586,5.97e-05,586,0.024788,586,0,0,0.0085641,586,0.015888,586,113218,586
414,1,0,2.226,1.2612,0.2568,0.201323,1,0,0,0.0902764,786,0.0053442,786,0.0030428,786,0.0818527,786,0,0,4.66e-05,786,0.0043662,229,0.0003148,98,0.001917,786,0.0007641,786,0.0018862,786,0.0013116,3,0.0005204,9,0.0004965,778,0.0026202,786,0.0009677,786,0.0003606,786,7.77e-05,786,0.0376702,786,0,0,0.0124225,786,0.0247498,786,178909,786
514,1,1,1.8582,1.3806,0.36918,0.218636,0,0,0,0.112262,986,0.0054939,986,0.0038685,986,0.102854,986,0,0,5.83e-05,986,0.0045949,244,0.000382,123,0.0024445,986,0.0009638,986,0.0025007,986,0.0013116,3,0.0005627,11,0.0006097,978,0.002847,986,0.0012415,986,0.0004757,986,9.66e-05,986,0.0524366,986,0,0,0.0169011,986,0.0348444,986,245906,986
614,1,0,1.30074,1.36463,0.468725,0.221012,0,0,0,0.135103,1186,0.0056582,1186,0.0046765,1186,0.124713,1186,0,0,7.4e-05,1186,0.0048929,262,0.0004547,148,0.0029619,1186,0.0011601,1186,0.0031017,1186,0.0013116,3,0.0005627,11,0.0007197,1176,0.0030556,1186,0.0015227,1186,0.0005831,1186,0.0001239,1186,0.0681999,1186,0,0,0.0215969,1186,0.0457026,1186,317928,1186
714,1,0,0.910518,1.27381,0.549233,0.2158,0,0,0,0.156827,1386,0.0058096,1386,0.0055091,1386,0.145442,1386,0,0,8.62e-05,1386,0.0050387,275,0.0005206,173,0.0034692,1386,0.0013673,1386,0.0037186,1386,0.0013116,3,0.0005627,11,0.0008365,1376,0.0031699,1386,0.0017912,1386,0.0007035,1386,0.0001416,1386,0.0846928,1386,0,0,0.0265379,1386,0.0570374,1386,390128,1386
